Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,BrkTkl,Rec/Br,Drop,Drop%
227,Aldrick Robinson,MIN,30,,14,0,35,17,231,12,189,11.1,42,2.5,0,,2,5.7
228,Torrey Smith,CAR,29,wr,11,6,31,17,190,12,142,8.4,48,2.8,2,8.5,1,3.2
229,Deonte Thompson,2TM,29,,13,6,30,17,161,10,123,7.2,38,2.2,1,17,2,6.7
230,Chad Williams,ARI,24,wr,10,7,46,17,171,9,155,9.1,16,0.9,0,,3,6.5
231,Kapri Bibbs,2TM,25,,12,0,23,16,115,4,7,0.4,108,6.8,0,,3,13
232,Bennie Fowler,NYG,27,wr,10,5,27,16,199,11,123,7.7,76,4.8,3,5.3,2,7.4
233,Josh Hill,NOR,28,TE,16,11,24,16,185,13,15,0.9,170,10.6,4,4,2,8.3
234,Breshad Perriman,CLE,25,wr,10,2,25,16,340,13,265,16.6,75,4.7,0,,0,0
235,Terrelle Pryor,2TM,29,,8,1,30,16,252,11,190,11.9,62,3.9,0,,1,3.3
236,James Washington,PIT,22,wr,14,6,38,16,217,11,164,10.3,53,3.3,1,16,2,5.3
237,Jordan Wilkins,IND,24,rb,16,3,17,16,85,2,-20,-1.3,105,6.6,2,8,0,0
238,Maxx Williams,BAL,24,te,13,6,17,16,143,7,46,2.9,97,6.1,1,16,0,0
239,Marcell Ateman,OAK,24,wr,7,6,31,15,154,7,123,8.2,31,2.1,0,,2,6.5
240,Alex Collins,BAL,24,RB,10,10,21,15,105,6,8,0.5,97,6.5,4,3.8,2,9.5
241,Tyler Eifert,CIN,28,te,4,2,19,15,179,10,125,8.3,54,3.6,1,15,1,5.3
242,Derrick Henry,TEN,24,RB,16,12,18,15,99,4,-16,-1.1,115,7.7,3,5,0,0
243,Justin Jackson,LAC,23,rb,13,1,19,15,135,6,-17,-1.1,152,10.1,1,15,1,5.3
244,Marshawn Lynch,OAK,32,rb,6,6,20,15,84,6,-6,-0.4,90,6,1,15,4,20
245,Darren Sproles,PHI,35,rb,6,2,23,15,160,8,33,2.2,127,8.5,2,7.5,2,8.7
246,Luke Stocker,TEN,30,TE,16,11,21,15,165,10,101,6.7,64,4.3,0,,1,4.8
247,Josh Bellamy,CHI,29,wr,16,2,25,14,117,9,71,5.1,46,3.3,1,14,1,4
248,Jaron Brown,SEA,28,wr,16,2,19,14,166,9,120,8.6,46,3.3,0,,0,0
249,Rex Burkhead,NWE,28,rb/wr,8,4,20,14,131,5,10,0.7,121,8.6,0,,0,0
250,DJ Chark,JAX,22,,11,0,32,14,174,6,129,9.2,45,3.2,0,,2,6.3
251,Royce Freeman,DEN,22,RB,14,8,20,14,72,2,13,0.9,59,4.2,1,14,2,10
252,Wayne Gallman,NYG,24,rb,15,2,22,14,89,5,8,0.6,81,5.8,3,4.7,2,9.1
253,Justin Hardy,ATL,27,,16,0,22,14,133,8,62,4.4,71,5.1,1,14,1,4.5
254,Jordan Leggett,NYJ,23,te,15,4,24,14,114,6,65,4.6,49,3.5,0,,0,0
255,Cody Core,CIN,24,wr,14,3,28,13,160,7,124,9.5,36,2.8,1,13,2,7.1
256,Andre Holmes,2TM,30,,15,3,24,13,162,8,112,8.6,50,3.8,1,13,2,8.3
257,Hayden Hurst,BAL,25,,12,0,23,13,163,8,89,6.8,74,5.7,1,13,0,0
258,Chris Ivory,BUF,30,rb,13,1,21,13,205,7,1,0.1,204,15.7,1,13,4,19
259,Keith Kirkwood,NOR,25,wr,8,1,21,13,209,11,160,12.3,49,3.8,1,13,2,9.5
260,Damion Ratley,CLE,23,wr,13,3,20,13,144,5,93,7.2,51,3.9,0,,2,10
261,Luke Willson,DET,28,TE,14,8,19,13,87,5,29,2.2,58,4.5,2,6.5,2,10.5
262,Dan Arnold,NOR,23,te,10,1,19,12,150,9,120,10,30,2.5,0,,1,5.3
263,Travis Benjamin,LAC,29,wr,12,3,24,12,186,9,124,10.3,62,5.2,0,,3,12.5
264,James Develin,NWE,30,fb/rb/te,16,8,17,12,61,4,25,2.1,36,3,0,,0,0
265,Ed Dickson,SEA,31,te,10,1,13,12,143,7,65,5.4,78,6.5,1,12,0,0
266,Frank Gore,MIA,35,RB,14,14,16,12,124,8,9,0.8,115,9.6,5,2.4,0,0
267,Demetrius Harris,KAN,27,te,15,3,25,12,164,9,89,7.4,75,6.3,1,12,4,16
268,Brandon LaFell,OAK,32,wr,6,5,16,12,135,9,82,6.8,53,4.4,0,,0,0
269,Eli Rogers,PIT,26,wr,3,3,14,12,79,5,39,3.3,40,3.3,1,12,0,0
270,Dalton Schultz,DAL,22,te,11,7,17,12,116,7,50,4.2,66,5.5,2,6,1,5.9
271,Logan Thomas,BUF,27,te,12,3,17,12,77,3,43,3.6,34,2.8,0,,1,5.9
272,Jeff Wilson,SFO,23,rb,6,2,15,12,98,5,1,0.1,97,8.1,1,12,1,6.7
273,Darren Fells,CLE,32,TE,16,11,12,11,117,6,51,4.6,66,6,1,11,0,0
274,C.J. Ham,MIN,25,rb/te,15,2,15,11,85,4,1,0.1,84,7.6,2,5.5,2,13.3
275,Darius Jennings,TEN,26,,16,0,15,11,101,2,64,5.8,37,3.4,0,,1,6.7
276,Andy Jones,DET,24,wr,8,3,24,11,80,6,54,4.9,26,2.4,2,5.5,1,4.2
277,Cody Latimer,NYG,26,wr,6,2,16,11,190,6,167,15.2,23,2.1,0,,0,0
278,Brandon Marshall,SEA,34,wr,7,2,23,11,136,7,113,10.3,23,2.1,0,,3,13
279,Marcus Murphy,BUF,27,rb,11,1,19,11,26,2,-11,-1,37,3.4,2,5.5,3,15.8
280,Bilal Powell,NYJ,30,rb,7,7,18,11,110,3,26,2.4,84,7.6,1,11,0,0
281,Brandon Powell,DET,22,wr,6,1,17,11,129,6,14,1.3,115,10.5,1,11,0,0
282,Austin Seferian-Jenkins,JAX,26,te,5,5,19,11,90,6,54,4.9,36,3.3,0,,0,0
283,LeGarrette Blount,DET,32,RB,16,8,15,10,67,4,-20,-2,87,8.7,1,10,2,13.3
284,Deontay Burnett,NYJ,21,wr,5,1,15,10,143,7,118,11.8,25,2.5,1,10,1,6.7
285,Michael Floyd,WAS,29,wr,13,3,24,10,100,5,71,7.1,29,2.9,1,10,4,16.7
286,Marvin Hall,ATL,25,,16,0,19,10,149,5,92,9.2,57,5.7,0,,0,0
287,Carlos Hyde,2TM,28,,14,7,16,10,33,0,-26,-2.6,59,5.9,0,,1,6.3
288,Niles Paul,JAX,29,te,6,1,13,10,98,5,66,6.6,32,3.2,0,,0,0
289,Andre Roberts*+,NYJ,30,wr,16,1,17,10,79,4,62,6.2,17,1.7,1,10,2,11.8
290,Russell Shepard,NYG,28,,12,0,19,10,188,7,172,17.2,16,1.6,0,,1,5.3
291,Lee Smith,OAK,31,te,16,4,11,10,73,5,18,1.8,55,5.5,0,,0,0
292,Kalen Ballage,MIA,23,,12,0,11,9,56,2,-20,-2.2,76,8.4,0,,1,9.1
293,Austin Carr,NOR,25,wr,14,2,14,9,97,5,75,8.3,22,2.4,0,,0,0
294,Corey Grant,JAX,27,rb,5,1,12,9,67,5,-16,-1.8,83,9.2,3,3,0,0
295,Jermaine Gresham,ARI,30,TE,13,11,12,9,94,6,19,2.1,75,8.3,1,9,2,16.7
296,Dontrell Hilliard,CLE,23,,11,0,10,9,105,4,15,1.7,90,10,3,3,0,0
297,Richie James,SFO,23,wr,13,2,14,9,130,4,29,3.2,101,11.2,3,3,2,14.3
298,Cameron Meredith,NOR,26,wr,6,1,10,9,114,4,76,8.4,38,4.2,0,,0,0
299,Logan Paulsen,ATL,31,TE,15,10,9,9,91,6,33,3.7,58,6.4,0,,0,0
300,Rashaad Penny,SEA,22,,14,0,12,9,75,3,2,0.2,73,8.1,1,9,2,16.7
301,MyCole Pruitt,TEN,26,te,15,1,11,9,102,6,74,8.2,28,3.1,0,,0,0
302,Trey Quinn,WAS,23,wr,3,2,10,9,75,5,58,6.4,17,1.9,0,,0,0
303,Michael Roberts,DET,24,te,8,2,20,9,100,5,77,8.6,23,2.6,0,,3,15
304,Scott Simonson,NYG,26,te,16,4,14,9,86,6,55,6.1,31,3.4,0,,0,0
305,Rod Smith,DAL,26,rb,16,1,12,9,60,1,3,0.3,57,6.3,1,9,0,0
306,Tavon Austin,DAL,28,,7,0,13,8,140,6,103,12.9,37,4.6,0,,2,15.4
307,Cameron Batson,TEN,23,wr,11,2,11,8,82,5,28,3.5,54,6.8,0,,0,0
308,Blake Bell,JAX,27,te,10,4,11,8,67,3,29,3.6,38,4.8,1,8,0,0
309,Jake Butt,DEN,23,te,3,3,13,8,85,4,41,5.1,44,5.5,1,8,0,0
310,Will Dissly,SEA,22,te,4,4,14,8,156,5,63,7.9,93,11.6,2,4,0,0
311,Andy Janovich,DEN,25,fb,16,7,10,8,112,5,49,6.1,63,7.9,1,8,0,0
312,Jake Kumerow,GNB,26,wr,5,2,11,8,103,4,80,10,23,2.9,0,,0,0
313,Taquan Mizzell,CHI,25,wr,9,1,10,8,78,4,44,5.5,34,4.3,0,,0,0
314,Alfred Morris,SFO,30,rb,12,1,13,8,73,5,6,0.8,67,8.4,2,4,0,0
315,Nick O'Leary,MIA,26,te,12,7,10,8,86,6,21,2.6,65,8.1,0,,0,0
316,Elijhaa Penny,NYG,25,rb,14,3,9,8,50,1,-1,-0.1,51,6.4,1,8,0,0
317,Anthony Sherman*,KAN,30,fb,16,1,9,8,96,5,40,5,56,7,1,8,1,11.1
318,Erik Swoope,IND,26,te,7,2,10,8,87,5,70,8.8,17,2.1,0,,1,10
319,Eric Tomlinson,NYJ,26,TE,15,12,14,8,72,3,-17,-2.1,89,11.1,2,4,2,14.3
320,Josh Adams,PHI,22,rb,14,5,13,7,58,3,-7,-1,65,9.3,0,,2,15.4
321,Mo Alie-Cox,IND,25,te,9,1,13,7,133,6,83,11.9,50,7.1,1,7,1,7.7
322,Antony Auclair,TAM,25,TE,16,10,8,7,48,1,40,5.7,8,1.1,0,,0,0
323,Derek Carrier,OAK,28,te,16,2,12,7,67,3,51,7.3,16,2.3,0,,0,0
324,Ronald Jones,TAM,21,,9,0,9,7,33,2,-9,-1.3,42,6,1,7,2,22.2
325,T.J. Logan,ARI,24,,10,0,7,7,37,1,-2,-0.3,39,5.6,0,,0,0
326,Sony Michel,NWE,23,RB,13,8,11,7,50,3,0,0,50,7.1,0,,2,18.2
327,JJ Nelson,ARI,26,wr,14,2,19,7,64,4,40,5.7,24,3.4,0,,0,0
328,Zach Zenner,DET,27,rb,8,1,10,7,56,3,-3,-0.4,59,8.4,0,,2,20
329,Kamar Aiken,PHI,29,wr,5,1,7,6,53,2,42,7,11,1.8,0,,0,0
330,Tommy Bohanon,JAX,28,fb,16,6,9,6,41,1,6,1,35,5.8,1,6,0,0
331,Brice Butler,2TM,28,,8,1,10,6,60,4,59,9.8,1,0.2,0,,0,0
332,Kenneth Dixon,BAL,24,,6,0,7,6,51,4,-3,-0.5,54,9,1,6,0,0
333,Russell Gage,ATL,22,,15,0,10,6,63,2,44,7.3,19,3.2,0,,2,20
334,Rashad Greene,JAX,26,wr,8,1,8,6,60,3,45,7.5,15,2.5,0,,1,12.5
335,Xavier Grimble,PIT,26,te,16,2,8,6,86,4,30,5,56,9.3,0,,0,0
336,David Grinnage,JAX,24,te,4,2,8,6,61,2,43,7.2,18,3,0,,0,0
337,Dwayne Harris,OAK,31,wr,15,1,6,6,40,1,-7,-1.2,47,7.8,1,6,0,0
338,Marcus Johnson,IND,24,,5,0,8,6,102,5,74,12.3,28,4.7,0,,1,12.5
339,Raheem Mostert,SFO,26,,9,0,7,6,25,1,-19,-3.2,44,7.3,0,,0,0
340,Durham Smythe,MIA,23,te,15,2,11,6,50,2,43,7.2,7,1.2,0,,0,0
341,Neal Sterling,NYJ,26,te,5,4,8,6,47,2,18,3,29,4.8,1,6,0,0
342,Darren Waller,OAK,26,,4,0,6,6,75,4,19,3.2,56,9.3,1,6,0,0
343,Jay Ajayi,PHI,25,rb,4,3,6,5,20,1,-10,-2,30,6,1,5,0,0
344,C.J. Anderson,2TM,27,,11,3,9,5,41,2,-4,-0.8,45,9,1,5,2,22.2
345,Malcolm Brown,LAR,25,,12,0,7,5,52,2,13,2.6,39,7.8,0,,0,0
346,Noah Brown,DAL,22,wr,8,2,8,5,54,3,34,6.8,20,4,0,,0,0
347,Garrett Celek,SFO,30,te,15,1,8,5,90,5,47,9.4,43,8.6,0,,1,12.5
348,Corey Coleman,NYG,24,wr,8,1,8,5,71,5,63,12.6,8,1.6,0,,1,12.5
349,Tyler Conklin,MIN,23,te,16,3,7,5,77,3,46,9.2,31,6.2,0,,1,14.3
350,Seth Devalve,CLE,25,te,13,4,7,5,74,3,59,11.8,15,3,0,,1,14.3
351,Devonta Freeman,ATL,26,rb,2,2,7,5,23,0,3,0.6,20,4,1,5,1,14.3
352,Zach Line,NOR,28,fb,16,6,10,5,14,2,7,1.4,7,1.4,0,,3,30
353,Rishard Matthews,2TM,29,,8,0,9,5,24,1,19,3.8,5,1,0,,1,11.1
354,Ray-Ray McCloud,BUF,22,fb,10,1,6,5,36,2,8,1.6,28,5.6,0,,0,0
355,David Morgan,MIN,25,te,11,6,6,5,36,2,9,1.8,27,5.4,0,,0,0
356,Brian Parker,DEN,26,te,13,1,10,5,33,2,4,0.8,29,5.8,1,5,1,10
357,Joshua Perkins,PHI,25,te,9,1,11,5,67,4,51,10.2,16,3.2,0,,2,18.2
358,Eric Saubert,ATL,24,te,16,1,9,5,48,2,35,7,13,2.6,0,,3,33.3
359,Adam Shaheen,CHI,24,te,6,4,6,5,48,3,35,7,13,2.6,0,,0,0
360,Keith Smith,OAK,26,fb,16,3,6,5,23,3,5,1,18,3.6,0,,1,16.7
361,Vyncint Smith,HOU,22,wr,7,1,10,5,91,3,85,17,6,1.2,0,,1,10
362,Jeremy Sprinkle,WAS,24,te/wr,16,9,9,5,41,3,20,4,21,4.2,1,5,0,0
363,Mark Walton,CIN,21,,14,0,8,5,41,1,-7,-1.4,48,9.6,0,,1,12.5
364,Chad Beebe,MIN,24,,3,0,4,4,39,3,27,6.8,12,3,0,,0,0
365,Nick Bellore,DET,29,fb,14,4,4,4,15,2,1,0.3,14,3.5,0,,0,0
366,Jawill Davis,NYG,23,,7,0,8,4,40,3,36,9,4,1,0,,0,0
367,Jacob Hollister,NWE,25,wr,8,1,5,4,52,2,36,9,16,4,0,,0,0
368,Tyler Kroft,CIN,26,te,5,2,6,4,36,4,19,4.8,17,4.3,1,4,1,16.7
369,Byron Marshall,WAS,24,,6,0,6,4,30,1,2,0.5,28,7,0,,0,0
370,Roosevelt Nix,PIT,26,,16,0,6,4,38,2,-5,-1.3,43,10.8,0,,0,0
371,Auden Tate,CIN,21,,7,0,12,4,35,2,33,8.3,2,0.5,0,,1,8.3
372,Robert Tonyan,GNB,24,te,16,1,6,4,77,3,67,16.8,10,2.5,0,,1,16.7
373,Delanie Walker,TEN,34,te,1,1,7,4,52,3,32,8,20,5,0,,0,0
374,Kevin White,CHI,26,,9,0,8,4,92,3,86,21.5,6,1.5,0,,0,0
375,Bobo Wilson,TAM,23,,5,0,5,4,52,2,32,8,20,5,0,,0,0
376,Javon Wims,CHI,24,,4,0,5,4,32,2,30,7.5,2,0.5,0,,0,0
377,Ameer Abdullah,2TM,25,,10,0,4,3,28,1,0,0,28,9.3,0,,0,0
378,Dwayne Allen,NWE,28,te/wr,13,8,4,3,27,2,-1,-0.3,28,9.3,0,,0,0
379,Cameron Artis-Payne,CAR,28,,9,0,4,3,15,1,0,0,15,5,1,3,0,0
380,Brandon Bolden,MIA,28,,16,0,3,3,13,1,-6,-2,19,6.3,0,,0,0
381,Ben Braunecker,CHI,24,te,15,2,5,3,42,2,38,12.7,4,1.3,0,,0,0
382,Orson Charles,CLE,27,te,13,2,5,3,23,,-1,-0.3,24,8,0,,1,20
383,A.J. Derby,MIA,27,,4,0,5,3,48,3,39,13,9,3,1,3,0,0
384,Patrick DiMarco,BUF,29,fb,16,5,4,3,62,2,27,9,35,11.7,0,,0,0
385,Tyler Ervin,HOU,25,,9,0,3,3,35,1,23,7.7,12,4,0,,0,0
386,Keith Ford,BUF,24,rb,2,1,5,3,21,1,-1,-0.3,22,7.3,0,,0,0
387,Rico Gathers,DAL,24,te,15,4,7,3,45,2,18,6,27,9,0,,0,0
388,Taysom Hill,NOR,28,te/wr,16,4,7,3,4,1,-1,-0.3,5,1.7,0,,2,28.6
389,Justin Hunter,PIT,27,,5,0,13,3,21,2,19,6.3,2,0.7,0,,0,0
390,Matt Lengel,CIN,28,te,11,2,8,3,17,2,10,3.3,7,2.3,0,,0,0
391,Marcedes Lewis,GNB,34,te,16,4,4,3,39,1,8,2.7,31,10.3,0,,0,0
392,Tommylee Lewis,NOR,26,wr,7,3,3,3,60,3,59,19.7,1,0.3,0,,0,0
393,Ricky Ortiz,ATL,24,FB,12,9,4,3,11,,-2,-0.7,13,4.3,2,1.5,0,0
394,Samaje Perine,WAS,23,,5,0,4,3,5,0,-4,-1.3,9,3,0,,0,0
395,John Phillips,ARI,31,te,8,4,3,3,38,1,30,10,8,2.7,0,,0,0
396,C.J. Prosise,SEA,24,,5,0,3,3,22,,5,1.7,17,5.7,0,,0,0
397,Brian Quick,WAS,29,wr,6,3,3,3,18,2,17,5.7,1,0.3,0,,0,0
398,Stevan Ridley,PIT,29,,10,0,4,3,18,1,6,2,12,4,0,,0,0
399,De'Anthony Thomas,KAN,25,,5,0,5,3,29,3,-1,-0.3,30,10,0,,0,0
400,Jalen Tolliver,ARI,23,wr,3,1,6,3,37,3,23,7.7,14,4.7,0,,0,0
401,Darrel Williams,KAN,23,,6,0,3,3,27,1,-7,-2.3,34,11.3,0,,0,0
402,Derrick Willies,CLE,24,,5,0,5,3,61,2,29,9.7,32,10.7,0,,0,0
403,Shaun Wilson,TAM,23,,5,0,5,3,5,,0,0,5,1.7,0,,0,0
404,Mike Boone,MIN,23,,8,0,3,2,1,0,-4,-2,5,2.5,0,,1,33.3
405,Leonte Carroo,MIA,24,,9,0,4,2,94,2,58,29,36,18,0,,0,0
406,Jamaal Charles,JAX,32,,2,0,3,2,7,,2,1,5,2.5,0,,1,33.3
407,Derrick Coleman,ARI,28,fb,16,4,3,2,17,1,10,5,7,3.5,0,,0,0
408,Alan Cross,TAM,25,te,14,3,5,2,9,1,2,1,7,3.5,0,,1,20
409,Ross Dwelley,SFO,23,,11,0,2,2,14,,13,6.5,1,0.5,0,,0,0
410,Gus Edwards,BAL,23,rb,11,6,2,2,20,1,3,1.5,17,8.5,0,,0,0
411,D'Onta Foreman,HOU,22,,1,0,2,2,28,1,18,9,10,5,0,,0,0
412,Jordan Franks,CIN,22,,6,0,3,2,37,1,23,11.5,14,7,0,,0,0
413,KhaDarel Hodge,LAR,23,,14,0,3,2,17,1,17,8.5,0,0,0,,0,0
414,John Kelly,LAR,22,,4,0,3,2,27,1,0,0,27,13.5,0,,1,33.3
415,Jeremy Kerley,BUF,30,wr,1,1,4,2,7,,-8,-4,15,7.5,0,,1,25
416,Tre Madden,SEA,25,fb,14,3,3,2,35,1,15,7.5,20,10,0,,0,0
417,Chris Manhertz,CAR,26,te,16,4,5,2,52,1,7,3.5,45,22.5,0,,1,20
418,J'Mon Moore,GNB,23,,12,0,3,2,15,1,9,4.5,6,3,0,,0,0
419,Detrez Newsome,LAC,24,,9,0,2,2,19,2,0,0,19,9.5,1,2,0,0
420,Jamize Olawale,DAL,29,fb/rb/wr,16,4,4,2,13,1,0,0,13,6.5,0,,1,25
421,Charone Peake,NYJ,26,,13,0,3,2,25,2,21,10.5,4,2,0,,1,33.3
422,Dion Sims,CHI,27,te,8,4,4,2,9,,0,0,9,4.5,0,,1,25
423,Roc Thomas,MIN,23,,5,0,4,2,21,0,9,4.5,12,6,0,,0,0
424,De'Lance Turner,BAL,23,,4,0,2,2,17,,3,1.5,14,7,1,2,0,0
425,Malik Turner,SEA,22,,6,0,3,2,20,1,6,3,14,7,0,,0,0
426,Hakeem Valles,DET,26,,3,0,3,2,11,,10,5,1,0.5,0,,0,0
427,Joe Webb,HOU,32,,16,0,3,2,13,,7,3.5,6,3,0,,0,0
428,Charcandrick West,KAN,27,,3,0,3,2,37,2,12,6,25,12.5,0,,0,0
429,Nick Williams,2TM,28,,4,0,5,2,17,,12,6,5,2.5,0,,1,20
430,Terrance Williams,DAL,29,wr,3,2,3,2,18,1,12,6,6,3,0,,0,0
431,Alex Armah,CAR,24,fb/wr,16,2,1,1,5,0,0,0,5,5,0,,0,0
432,Kenjon Barner,2TM,28,,9,0,1,1,3,0,3,3,0,0,0,,0,0
433,Victor Bolden,2TM,23,,6,0,4,1,10,1,9,9,1,1,0,,0,0
434,Tom Brady*,NWE,41,QB,16,16,1,1,6,0,0,0,6,6,0,,0,0
435,Drew Brees*,NOR,39,QB,15,15,1,1,1,0,-2,-2,3,3,0,,0,0
436,Michael Burton,CHI,26,fb,8,1,1,1,6,1,0,0,6,6,0,,0,0
437,Damiere Byrd,CAR,25,,8,0,2,1,8,1,7,7,1,1,0,,0,0
438,Travaris Cadet,CAR,29,,1,0,1,1,5,,1,1,4,4,0,,0,0
439,Derek Carr,OAK,27,QB,16,16,1,1,-9,0,0,0,-9,-9,0,,0,0
440,Jehu Chesson,WAS,25,,12,0,2,1,7,1,7,7,0,0,0,,0,0
441,Sammie Coates,HOU,25,,12,0,2,1,12,1,7,7,5,5,1,1,1,50
442,Kirk Cousins,MIN,30,QB,16,16,1,1,-1,0,-7,-7,6,6,0,,0,0
443,River Cracraft,DEN,24,,8,0,2,1,44,1,37,37,7,7,0,,0,0
444,Dane Cruikshank,TEN,23,,12,0,1,1,66,1,17,17,49,49,0,,0,0
445,Sean Culkin,LAC,25,TE,13,10,1,1,24,1,24,24,0,0,0,,0,0
446,Benny Cunningham,CHI,28,,15,0,2,1,9,1,-4,-4,13,13,0,,0,0
447,Chase Daniel,CHI,32,qb,5,2,1,1,8,1,-6,-6,14,14,0,,0,0
448,Dion Dawkins,BUF,24,T,16,16,1,1,7,1,7,7,0,0,0,,0,0
449,Taylor Decker,DET,25,T,16,16,1,1,11,1,1,1,10,10,0,,0,0
450,Gehrig Dieter,KAN,25,,4,0,3,1,22,2,9,9,13,13,0,,1,33.3
451,George Fant,SEA,26,t/te,16,7,1,1,9,,0,0,9,9,0,,0,0
452,Matt Flanagan,WAS,23,wr,3,1,1,1,14,1,7,7,7,7,0,,0,0
453,Nick Foles,PHI,29,qb,5,5,1,1,10,1,8,8,2,2,0,,0,0
454,Shelton Gibson,PHI,23,,15,0,3,1,48,1,48,48,0,0,0,,0,0
455,Mike Gillislee,NOR,28,,4,0,1,1,9,0,0,0,9,9,0,,0,0
456,Justin Hardee,NOR,24,,16,0,1,1,10,1,8,8,2,2,0,,0,0
457,Keon Hatcher,OAK,24,,3,0,2,1,8,,0,0,8,8,0,,0,0
458,Ryan Hewitt,IND,27,te/wr,12,2,2,1,1,1,1,1,0,0,0,,0,0
459,Darrius Heyward-Bey,PIT,31,wr,14,2,2,1,9,,-1,-1,10,10,0,,0,0
460,Brian Hill,ATL,23,,10,0,2,1,9,0,4,4,5,5,2,0.5,0,0
461,Jeremy Hill,NWE,26,,1,0,1,1,6,0,1,1,5,5,0,,0,0
462,JJ Jones,2TM,26,,4,0,1,1,3,,2,2,1,1,0,,0,0
463,Ryan Kelly,IND,25,C,12,12,1,1,-4,,-3,-3,-1,-1,0,,0,0
464,Marcus Kemp,KAN,23,,16,0,2,1,7,,-1,-1,8,8,0,,0,0
465,Darvin Kidsy,WAS,23,,2,0,2,1,8,1,6,6,2,2,0,,0,0
466,Allen Lazard,GNB,23,,1,0,1,1,7,,7,7,0,0,0,,0,0
467,Khari Lee,BUF,26,,2,0,1,1,5,,-1,-1,6,6,0,,0,0
468,Andrew Luck*,IND,29,QB,16,16,2,1,4,1,4,4,0,0,0,,0,0
469,Josh Malone,CIN,22,,9,0,5,1,12,1,12,12,0,0,0,,0,0
470,Marcus Mariota,TEN,25,QB,14,13,1,1,21,1,10,10,11,11,0,,0,0
471,Johnny Mundt,LAR,24,,10,0,1,1,5,,0,0,5,5,0,,0,0
472,Cam Phillips,BUF,23,,2,0,1,1,9,,2,2,7,7,0,,0,0
473,Spencer Pulley,NYG,25,C,13,9,1,1,-2,,-2,-2,0,0,0,,0,0
474,Richard Rodgers,PHI,26,,7,0,1,1,7,1,-2,-2,9,9,0,,0,0
475,Ben Roethlisberger,PIT,36,QB,16,16,1,1,-1,0,0,0,-1,-1,0,,0,0
476,Matt Ryan,ATL,33,QB,16,16,1,1,5,1,1,1,4,4,0,,0,0
477,Matt Schaub,ATL,37,,3,0,1,1,-7,0,-7,-7,0,0,0,,0,0
478,Sam Shields,LAR,31,cb/rcb,16,2,1,1,12,2,6,6,6,6,0,,0,0
479,Bradley Sowell,CHI,29,fb,16,1,2,1,2,1,2,2,0,0,0,,0,0
480,Joe Staley,SFO,34,T,16,16,1,1,-5,,-10,-10,5,5,0,,0,0
481,Tyrone Swoopes,SEA,24,te,1,1,1,1,23,1,8,8,15,15,0,,0,0
482,Ryan Tannehill,MIA,30,QB,11,11,1,1,3,1,2,2,1,1,0,,0,0
483,Robert Turbin,IND,29,,2,0,2,1,3,,0,0,3,3,0,,0,0
484,Alejandro Villanueva*,PIT,30,T,16,16,1,1,2,1,2,2,0,0,0,,0,0
485,Danny Vitale,GNB,25,,5,0,2,1,2,1,2,2,0,0,0,,0,0
486,DeAndre Washington,OAK,25,,10,0,1,1,9,0,2,2,7,7,1,1,0,0
487,Justin Watson,TAM,23,,12,0,3,1,5,,5,5,0,0,0,,0,0
488,Derek Watt,LAC,26,fb,16,5,1,1,2,0,0,0,2,2,0,,0,0
489,Carson Wentz,PHI,26,QB,11,11,1,1,4,1,-5,-5,9,9,0,,0,0
490,Tim White,BAL,24,,3,0,1,1,14,1,14,14,0,0,0,,0,0
491,Jonathan Williams,NOR,24,,3,0,1,1,1,,1,1,0,0,0,,0,0
492,Kyle Williams*,BUF,35,dt/LDT/rdt,16,16,1,1,9,,-1,-1,10,10,0,,0,0
493,Russell Wilson*,SEA,30,QB,16,16,1,1,-11,0,-10,-10,-1,-1,0,,0,0
494,Brandon Zylstra,MIN,25,,16,0,2,1,23,1,15,15,8,8,0,,0,0